City,PM2.5,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,83.13,6.93,28.71,33.72,6.93,49.52,59.76,0.02,0,3.14,209,Poor
Ahmedabad,79.84,13.85,28.68,41.08,13.85,48.49,97.07,0.04,0,4.81,328,Very Poor
Ahmedabad,94.52,24.39,32.66,52.61,24.39,67.39,111.33,0.24,0.01,7.67,514,Severe
Ahmedabad,135.99,43.48,42.08,84.57,43.48,75.23,102.7,0.4,0.04,25.87,782,Severe
Ahmedabad,178.33,54.56,35.31,72.8,54.56,55.04,107.38,0.46,0.06,35.61,914,Severe
Ahmedabad,139.7,30.61,28.4,56.73,30.61,33.79,73.6,0.17,0.03,11.87,660,Severe
Ahmedabad,80.65,2.37,22.83,24,2.37,25.73,47.3,0,0,0,294,Poor
Ahmedabad,58.36,2.6,21.39,23.31,2.6,32.66,53.54,0,0,0,149,Moderate
Ahmedabad,79.29,1.16,26.94,26.83,1.16,67.41,59.3,0,0,0,190,Moderate
Ahmedabad,88.7,7.29,31.32,37.73,7.29,80.09,44.76,0,0,0,247,Poor
Ahmedabad,74.28,8.92,27.3,33.42,8.92,54.28,47.42,0,0,0.27,379,Very Poor
Ahmedabad,113.93,4.32,24.27,26.86,4.32,48.73,39.94,0.02,0,3.55,341,Very Poor
Ahmedabad,105.39,1.41,18.21,18.75,1.41,35.91,56.15,0,0,3.31,256,Poor
Ahmedabad,66.52,6.34,23.8,28.24,6.34,66.58,53.14,9.7,9.63,16.49,388,Very Poor
Ahmedabad,65.04,14.19,30.1,44.21,14.19,65.91,31.88,7.72,17.46,2.51,288,Poor
Ahmedabad,103.36,18.18,39.56,57.33,18.18,80.43,40.11,11.29,24.35,3.35,510,Severe
Ahmedabad,177.33,37.49,47.58,77.85,37.49,99.72,36.47,17,52.66,6.98,761,Severe
Ahmedabad,113.25,15.55,30.5,44.87,15.55,69.71,33.78,10.47,28.53,3.22,475,Severe
Ahmedabad,99.7,19.85,28.1,47.31,19.85,73.23,30.57,10.28,31.25,4,536,Severe
Ahmedabad,80.61,15.96,21.04,35.67,15.96,54.7,36.2,8.14,18.75,2.52,479,Severe
Ahmedabad,100.79,16.24,25.93,41.91,16.24,43.11,37.43,10,32.41,4.04,592,Severe
Ahmedabad,107.99,11.25,30.09,40.47,11.25,84.86,31.94,9.2,24.03,3.25,427,Severe
Ahmedabad,140.29,33.84,36.14,68.85,33.84,101.53,40.98,20.12,43.51,7.48,588,Severe
Ahmedabad,239.96,61.95,46.25,106.92,61.95,84.87,33.55,22.14,53.98,15.44,1141,Severe
Ahmedabad,142.96,45.45,48.21,92.32,45.45,62.96,34.77,7.35,22.4,8.47,669,Severe
Ahmedabad,118.72,12.56,32.01,42.56,12.56,61.54,38.8,16.89,46.52,6.05,411,Severe
Ahmedabad,52.99,2.23,10.45,10.39,2.23,32.76,67.25,3.85,11.39,0.81,292,Poor
Ahmedabad,60.78,9.07,18.21,27.34,9.07,29.48,34.75,2.05,0.55,0.22,189,Moderate
Ahmedabad,91.83,12.99,28.71,40.76,12.99,39.71,38.46,2.69,1.74,2.25,408,Severe
Ahmedabad,93.88,18.21,29.38,47.01,18.21,62.75,46.79,5.21,2.55,1.55,383,Very Poor
Ahmedabad,173.01,48.44,42.27,90.73,48.44,78.76,59.39,9.72,9.96,4.13,780,Severe
Ahmedabad,71.56,3.51,16.83,20.32,3.51,30.28,57.16,3.95,8.01,0.63,190,Moderate
Ahmedabad,119.8,4.13,24.07,27.9,4.13,50.35,50.49,4.85,12.15,1.35,233,Poor
Ahmedabad,106.71,5.39,25.59,30.51,5.39,38.85,60.17,5.58,14.17,1.74,297,Poor
Ahmedabad,118.49,4.11,28.94,31.83,4.11,54.2,53.61,7.9,21.32,2.78,330,Very Poor
Ahmedabad,106.01,4.28,27.31,30.54,4.28,70.29,40.91,9.45,15.54,1.71,252,Poor
Ahmedabad,97.34,3.67,21.58,24.62,3.67,64.39,45.69,5.61,15.02,2.25,244,Poor
Ahmedabad,83.92,6.42,25.03,30.8,6.42,67.53,34.94,8.24,21.47,3.09,234,Poor
Ahmedabad,49.51,3.1,14.16,16.15,3.1,48.33,37.95,4.34,11.34,1.09,219,Poor
Ahmedabad,30.76,2.72,14.14,16.98,2.72,43.62,54.78,3.58,9.38,0.84,118,Moderate
Ahmedabad,50.29,5.34,29.84,33.28,5.34,59.23,45.44,5.45,15.12,1.65,231,Poor
Ahmedabad,57.69,25.36,29.48,54.79,25.36,58.33,52.87,9.55,32.11,4.53,286,Poor
Ahmedabad,105.06,46.24,37.05,82.23,46.24,53.62,45.65,20.89,75.36,12.7,883,Severe
Ahmedabad,94.1,22.14,36.53,57.49,22.14,61.31,46.77,17.5,52.01,7.9,720,Severe
Ahmedabad,111.89,22.25,43.29,64.53,22.25,66.44,50.57,18.03,56.86,8.86,570,Severe
Ahmedabad,108.59,25.38,39.34,63.01,25.38,75.8,46.68,15.78,48.41,7.07,589,Severe
Ahmedabad,130.76,45.61,41.03,85.76,45.61,65.77,41.58,24.12,85.31,12.56,818,Severe
Ahmedabad,143.55,27.3,31.15,57.16,27.3,50.98,35.38,18.61,72.78,10.15,737,Severe
Ahmedabad,165.07,23.83,34.48,57.71,23.83,64.32,43.79,29.14,64.01,8.51,585,Severe
Ahmedabad,166.85,17.93,43.3,60.07,17.93,79.71,53.44,24.09,67.38,9.76,616,Severe
Ahmedabad,147.38,6.4,35.82,40.22,6.4,46.89,17.94,14.23,41.88,5.7,437,Severe
Ahmedabad,158.25,5.86,27.89,32.65,5.86,142.36,38.54,13.67,21.24,2.83,321,Very Poor
Ahmedabad,237.76,4.99,21.8,25.37,4.99,96.28,39.77,8.68,14.95,1.28,372,Very Poor
Ahmedabad,133.37,3.88,17.99,21.02,3.88,57.34,39.66,5.76,11.74,1.04,339,Very Poor
Ahmedabad,133.3,6.52,20,26.18,6.52,51.58,59.03,9.94,21.13,2.31,339,Very Poor
Ahmedabad,96.04,3.8,20.07,23.46,3.8,62.42,46.61,7.54,13.44,1.65,324,Very Poor
Ahmedabad,77.69,5.24,18.87,23.06,5.24,100.48,27.14,9.49,11.77,1.6,222,Poor
Ahmedabad,53.07,4.17,13.82,17.45,4.17,40.36,21.76,4.47,6.94,0.42,169,Moderate
Ahmedabad,63.11,5.63,15.5,18.49,5.63,38.21,4.72,5.2,8.17,0.73,220,Poor
Ahmedabad,120.96,4.23,20.86,25.02,4.23,35.54,35.66,6.05,15.85,1.68,303,Very Poor
Ahmedabad,138.63,5.65,25.47,30.67,5.65,87.43,29.77,11.25,24.67,3.12,314,Very Poor
Ahmedabad,144.36,15.82,30.69,46.1,15.82,66.39,27.34,17.22,49.56,7.71,378,Very Poor
Ahmedabad,85.03,3.3,26.7,27.41,3.3,59.16,35.89,7.58,29.19,4.08,415,Severe
Ahmedabad,61.06,3.52,14.03,17.59,3.52,8.08,19.54,0,0,0.01,126,Moderate
Ahmedabad,39.42,5.28,19.56,24.66,5.28,17.66,31.3,0,0,0,175,Moderate
Ahmedabad,111.86,3.89,22.51,25.17,3.89,15.84,31.23,0,0,0,226,Poor
Ahmedabad,58.37,5.74,21.71,27.69,5.74,25.9,43.92,2.15,10.46,5.4,244,Poor
Ahmedabad,95.37,18.01,26.23,44.34,18.01,13.59,41.64,1.21,3.28,20.78,315,Very Poor
Ahmedabad,141.3,30.8,36.88,66.53,30.8,41.06,37.66,0.66,0.01,28.13,678,Severe
Ahmedabad,106.68,19.91,46.38,54.77,19.91,31.56,48.49,1.67,0,15.95,774,Severe
Ahmedabad,109.48,4.3,20.27,22.86,4.3,46.6,31.34,0.05,0,6.19,285,Poor
Ahmedabad,126.04,6.99,20.18,26.78,6.99,79.56,28.71,0.2,0,6.4,321,Very Poor
Ahmedabad,71.22,16.73,21.32,37.58,16.73,50.09,28.39,1.38,23.54,6.09,358,Very Poor
Ahmedabad,97.87,6.3,17.96,23.45,6.3,13.85,34.16,0.21,4.91,2.95,357,Very Poor
Ahmedabad,63.38,3.44,13.28,15.44,3.44,24.79,43.62,0,0,1.23,189,Moderate
Ahmedabad,80.9,5.7,18.62,24.23,5.7,65.44,22.8,0.05,0.09,3.46,214,Poor
Ahmedabad,103.29,4.55,19.82,23.69,4.55,85.42,22.18,0.06,1.17,2.58,253,Poor
Ahmedabad,107.5,5.29,15.56,19.73,5.29,74.37,10.12,0.09,0.16,2.91,239,Poor
Ahmedabad,138.42,5.05,16.7,21.56,5.05,77.74,27.18,0.01,0.88,2.01,300,Poor
Ahmedabad,129.04,5.69,14.86,19.66,5.69,78.27,18.67,0,0,1.54,317,Very Poor
Ahmedabad,96.65,4.67,15.9,20.53,4.67,39.41,11.83,0.01,0,3.11,240,Poor
Ahmedabad,126.77,15.69,23.93,39.73,15.69,93.18,36.71,0.22,0.04,10,344,Very Poor
Ahmedabad,106.15,13.12,23.02,35.05,13.12,65.95,81.6,0.3,0.02,9.69,503,Severe
Ahmedabad,86.31,2.69,10.5,10.9,2.69,50.13,90.54,0.47,0.15,12.8,308,Very Poor
Ahmedabad,83.99,2.73,0.08,2.75,2.73,34.06,69.57,0.28,0.05,8.97,227,Poor
Ahmedabad,65.11,3.14,4.58,6.75,3.14,22.27,32.26,0.17,0.04,5.84,120,Moderate
Ahmedabad,51.03,6.24,20.47,26.2,6.24,15.5,31.44,0,0,1.29,158,Moderate
Ahmedabad,38.73,8,19.28,26.61,8,20.13,25.7,0,0,2.08,177,Moderate
Ahmedabad,61.12,9.94,17.82,27.18,9.94,39.69,25.9,0,0,3.49,201,Poor
Ahmedabad,58.44,10.68,17.24,27.38,10.68,54.69,18.89,0,0,1.39,211,Poor
Ahmedabad,61.49,11.44,16.69,27.61,11.44,42.66,18.2,0.01,0,2.59,221,Poor
Ahmedabad,65.39,12.3,16.08,27.86,12.3,27.96,22.35,0,0,2.29,233,Poor
Ahmedabad,100.92,20.42,18.9,37.83,20.42,31.9,22.84,4.9,19.26,8.21,481,Severe
Ahmedabad,97.48,5.31,30.02,33.62,5.31,36.05,16.26,10.6,34.91,3.85,352,Very Poor
Ahmedabad,129.27,14.28,28.33,41.92,14.28,70.13,25.4,16.9,44.19,4.97,327,Very Poor
Ahmedabad,129.58,21.23,28.79,45.4,21.23,17.66,34.42,20.53,85.73,11.56,577,Severe
Ahmedabad,100.57,7.56,18.79,24.33,7.56,38.76,38.83,4.92,17.94,1.54,411,Severe
Ahmedabad,130.34,7.14,17.43,23.72,7.14,52.07,29.05,5.05,14,1.3,212,Poor
Ahmedabad,53.24,8.05,15.86,23.34,8.05,36.23,21.58,5.23,15,1.02,280,Poor
Ahmedabad,42,10.44,18.16,21.8,10.44,17,25.5,0,0,0,162,Moderate
Ahmedabad,83.69,10.89,17.18,27.15,10.89,41.12,35.61,12.62,20.2,17.84,569,Severe
Ahmedabad,38.88,2.18,16.28,17.74,2.18,26.4,12.47,3,6.96,6.37,128,Moderate
Ahmedabad,46.89,2.96,16.17,18.49,2.96,41.96,10.74,3.41,8.87,3.53,129,Moderate
Ahmedabad,70.96,4.12,15.47,19.28,4.12,23.67,16.01,3.72,8.13,4.06,152,Moderate
Ahmedabad,53.66,4.23,14.43,18.06,4.23,14.46,45.64,2.39,6.4,3.53,176,Moderate
Ahmedabad,45.49,4.26,13.73,17.1,4.26,12.85,71.85,2.5,5.96,3.36,167,Moderate
Ahmedabad,60.86,5.27,16.61,21.42,5.27,14.91,41.19,3.03,9.18,6.54,106,Moderate
Ahmedabad,51.93,13.71,17.87,31.64,13.71,15.33,12.88,6.32,19.17,10.57,231,Poor
Ahmedabad,77.87,6.67,17.12,23,6.67,46.82,16.67,4.79,9.78,5.1,327,Very Poor
Ahmedabad,57.59,5.6,15.47,20.42,5.6,41.68,25.51,2.64,6.3,3.08,174,Moderate
Ahmedabad,77.22,7.02,15.47,21.13,7.02,71.97,9.56,3.74,8.45,1.17,185,Moderate
Ahmedabad,45.29,7.25,12.74,19.66,7.25,18.64,6.32,2.73,6.99,0.76,179,Moderate
Ahmedabad,103.78,6.36,13.9,19.86,6.36,7.76,15.27,0.82,1.37,0.81,211,Poor
Ahmedabad,25.14,6.01,18.73,24.74,6.01,38.05,38.52,0,0,0,192,Moderate
Ahmedabad,87.03,8.05,17.88,25.53,8.05,23.84,48.22,0,0,0,310,Very Poor
Ahmedabad,89.6,6.59,19.84,25.9,6.59,48.05,44.78,0,0,0,223,Poor
Ahmedabad,80.69,6.86,16.07,22.25,6.86,39.85,32.65,0,0,0,192,Moderate
Ahmedabad,44.75,7.76,16.53,24.29,7.76,9.89,8.07,0,0,0,191,Moderate
Ahmedabad,38.11,7.41,11.62,19.03,7.41,3.13,6.69,2.5,5.93,0.74,184,Moderate
Ahmedabad,45.5,8.56,15.59,24.15,8.56,0.76,3.82,5.09,8.52,1.82,220,Poor
Ahmedabad,36.98,8.21,11.52,19.74,8.21,0.52,5.17,3.63,8.16,1.33,215,Poor
Ahmedabad,43.58,8.26,13.33,21.58,8.26,1.02,7.56,3.59,6.79,1.5,226,Poor
Ahmedabad,45.49,9.63,14.91,24.53,9.63,0.81,2.94,3.67,6.62,1.17,251,Poor
Ahmedabad,38.06,8.67,18.57,27.25,8.67,1.05,4.63,2.85,5.12,0.74,216,Poor
Ahmedabad,45.41,9.35,20.55,29.9,9.35,0.74,4.5,2.83,7.18,0.82,237,Poor
Ahmedabad,37.71,8.54,16.26,24.8,8.54,0.87,4.6,2.52,7.61,0.81,198,Moderate
Ahmedabad,32.37,7.53,14.36,21.89,7.53,2.17,12.17,1.88,7.92,0.69,195,Moderate
Ahmedabad,34.74,7.59,13.51,21.11,7.59,4.11,12.22,1.82,6.19,0.47,187,Moderate
Ahmedabad,32.56,7.34,13.91,21.25,7.34,4.04,11.85,2.55,9.3,0.97,181,Moderate
Ahmedabad,29.28,7.55,11.68,19.23,7.55,4.01,12.64,1.64,7,0.62,179,Moderate
Ahmedabad,20.46,7.15,10.61,17.76,7.15,5.62,12.7,1.26,5.17,0.32,188,Moderate
